id,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,call_failures,tariff_plan,status,age_group,complaints,churn,usage_intensity,engagement_intensity,sms_intensity,call_failure_rate,network_reach_ratio,usage_segment,charge_segment,tenure_segment,failure_segment,tariff_plan_flag,status_inactive_flag,complaints_flag,age_group_code
45,44,3,4160,90,49,34,17,A,Active,30-40,N,0,94.54545454545455,2.0454545454545454,1.1136363636363635,0.18888888888888888,0.37777777777777777,Low usage,Positive charge tier,Long tenure,High failure,0,0,0,1
46,17,1,9427,178,89,45,19,A,Active,Over 40,N,0,554.5294117647059,10.470588235294118,5.235294117647059,0.10674157303370786,0.25280898876404495,High usage,Positive charge tier,Short tenure,High failure,0,0,0,2
47,37,0,5728,95,32,14,1,A,Active,30-40,N,0,154.8108108108108,2.5675675675675675,0.8648648648648649,0.010526315789473684,0.14736842105263157,High usage,Zero charge tier,Long tenure,Low failure,0,0,0,1
48,8,0,4275,34,183,6,2,A,Active,30-40,N,0,534.375,4.25,22.875,0.058823529411764705,0.17647058823529413,High usage,Zero charge tier,Short tenure,Low failure,0,0,0,1
49,36,0,3718,82,2,28,2,A,Active,Under 30,N,0,103.27777777777777,2.2777777777777777,0.05555555555555555,0.024390243902439025,0.34146341463414637,High usage,Zero charge tier,Long tenure,Low failure,0,0,0,0
50,36,0,3470,76,25,26,6,A,Active,Under 30,N,0,96.38888888888889,2.111111111111111,0.6944444444444444,0.07894736842105263,0.34210526315789475,Low usage,Zero charge tier,Long tenure,Low failure,0,0,0,0
51,36,0,2585,36,0,18,8,A,Inactive,30-40,Y,1,71.80555555555556,1.0,0.0,0.2222222222222222,0.5,Low usage,Zero charge tier,Long tenure,High failure,0,1,1,1
52,24,0,1110,26,0,9,10,A,Active,Under 30,N,0,46.25,1.0833333333333333,0.0,0.38461538461538464,0.34615384615384615,Low usage,Zero charge tier,Short tenure,High failure,0,0,0,0
53,39,1,4908,77,9,35,16,A,Active,Under 30,N,0,125.84615384615384,1.9743589743589745,0.23076923076923078,0.2077922077922078,0.45454545454545453,High usage,Positive charge tier,Long tenure,High failure,0,0,0,0
54,22,5,3238,53,48,25,14,B,Active,30-40,N,0,147.1818181818182,2.409090909090909,2.1818181818181817,0.2641509433962264,0.4716981132075472,High usage,Positive charge tier,Short tenure,High failure,1,0,0,1
55,9,1,2547,33,16,16,1,A,Active,30-40,N,0,283.0,3.6666666666666665,1.7777777777777777,0.030303030303030304,0.48484848484848486,High usage,Positive charge tier,Short tenure,Low failure,0,0,0,1
56,32,0,2535,16,0,12,0,A,Active,30-40,N,0,79.21875,0.5,0.0,0.0,0.75,Low usage,Zero charge tier,Short tenure,Low failure,0,0,0,1
57,16,0,8527,166,55,42,11,A,Active,Over 40,N,0,532.9375,10.375,3.4375,0.06626506024096386,0.25301204819277107,High usage,Zero charge tier,Short tenure,Low failure,0,0,0,2
58,38,1,4023,88,9,30,7,A,Active,30-40,N,0,105.86842105263158,2.3157894736842106,0.23684210526315788,0.07954545454545454,0.3409090909090909,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
59,35,0,3778,54,0,29,5,A,Active,Under 30,N,0,107.94285714285714,1.542857142857143,0.0,0.09259259259259259,0.5370370370370371,High usage,Zero charge tier,Long tenure,Low failure,0,0,0,0
60,38,2,7210,97,194,26,9,A,Active,30-40,N,0,189.73684210526315,2.5526315789473686,5.105263157894737,0.09278350515463918,0.26804123711340205,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
61,11,1,1193,15,7,2,5,A,Active,30-40,Y,1,108.45454545454545,1.3636363636363635,0.6363636363636364,0.3333333333333333,0.13333333333333333,High usage,Positive charge tier,Short tenure,High failure,0,0,1,1
62,38,1,6163,98,9,12,8,A,Active,30-40,N,0,162.18421052631578,2.5789473684210527,0.23684210526315788,0.08163265306122448,0.12244897959183673,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
63,40,2,3400,33,490,10,9,A,Active,30-40,N,0,85.0,0.825,12.25,0.2727272727272727,0.30303030303030304,Low usage,Positive charge tier,Long tenure,High failure,0,0,0,1
64,6,0,3375,23,183,8,0,A,Active,30-40,N,0,562.5,3.8333333333333335,30.5,0.0,0.34782608695652173,High usage,Zero charge tier,Short tenure,Low failure,0,0,0,1
65,33,0,6135,77,174,22,0,A,Active,30-40,N,0,185.9090909090909,2.3333333333333335,5.2727272727272725,0.0,0.2857142857142857,High usage,Zero charge tier,Short tenure,Low failure,0,0,0,1
66,33,0,1200,50,18,17,25,A,Inactive,30-40,Y,1,36.36363636363637,1.5151515151515151,0.5454545454545454,0.5,0.34,Low usage,Zero charge tier,Short tenure,High failure,0,1,1,1
67,39,2,3795,70,190,25,17,A,Active,Under 30,N,0,97.3076923076923,1.794871794871795,4.871794871794871,0.24285714285714285,0.35714285714285715,High usage,Positive charge tier,Long tenure,High failure,0,0,0,0
68,43,2,6760,96,201,32,8,A,Active,30-40,N,0,157.2093023255814,2.2325581395348837,4.674418604651163,0.08333333333333333,0.3333333333333333,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
69,42,9,10695,103,16,48,26,B,Active,Over 40,N,0,254.64285714285714,2.4523809523809526,0.38095238095238093,0.2524271844660194,0.46601941747572817,High usage,Positive charge tier,Long tenure,High failure,1,0,0,2
70,33,0,2085,25,0,9,0,A,Inactive,Under 30,N,1,63.18181818181818,0.7575757575757576,0.0,0.0,0.36,Low usage,Zero charge tier,Short tenure,Low failure,0,1,0,0
71,23,5,3157,57,46,22,15,A,Active,Over 40,N,0,137.2608695652174,2.4782608695652173,2.0,0.2631578947368421,0.38596491228070173,High usage,Positive charge tier,Short tenure,High failure,0,0,0,2
72,35,0,1260,53,23,19,28,A,Inactive,30-40,N,1,36.0,1.5142857142857142,0.6571428571428571,0.5283018867924528,0.3584905660377358,Low usage,Zero charge tier,Long tenure,High failure,0,1,0,1
73,35,0,2543,54,7,18,12,A,Inactive,30-40,N,0,72.65714285714286,1.542857142857143,0.2,0.2222222222222222,0.3333333333333333,Low usage,Zero charge tier,Long tenure,High failure,0,1,0,1
74,37,1,13898,167,7,41,10,A,Active,30-40,N,0,375.6216216216216,4.513513513513513,0.1891891891891892,0.059880239520958084,0.24550898203592814,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
75,32,0,0,0,0,0,0,A,Inactive,Under 30,N,0,0.0,0.0,0.0,0.0,0.0,Low usage,Zero charge tier,Short tenure,Low failure,0,1,0,0
76,19,2,9298,180,85,44,20,A,Active,Over 40,N,0,489.36842105263156,9.473684210526315,4.473684210526316,0.1111111111111111,0.24444444444444444,High usage,Positive charge tier,Short tenure,High failure,0,0,0,2
77,39,2,11960,161,27,52,14,A,Active,Over 40,N,0,306.6666666666667,4.128205128205129,0.6923076923076923,0.08695652173913043,0.32298136645962733,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,2
78,22,1,1613,35,22,64,5,A,Active,Over 40,N,0,73.31818181818181,1.5909090909090908,1.0,0.14285714285714285,1.8285714285714285,Low usage,Positive charge tier,Short tenure,High failure,0,0,0,2
79,35,0,14580,166,122,13,0,A,Active,Under 30,N,0,416.57142857142856,4.742857142857143,3.4857142857142858,0.0,0.0783132530120482,High usage,Zero charge tier,Long tenure,Low failure,0,0,0,0
80,27,1,3530,67,15,25,7,A,Active,30-40,N,0,130.74074074074073,2.4814814814814814,0.5555555555555556,0.1044776119402985,0.373134328358209,High usage,Positive charge tier,Short tenure,High failure,0,0,0,1
81,41,0,5613,95,8,11,3,A,Active,30-40,N,0,136.90243902439025,2.317073170731707,0.1951219512195122,0.031578947368421054,0.11578947368421053,High usage,Zero charge tier,Long tenure,Low failure,0,0,0,1
82,11,4,2393,35,28,24,12,A,Active,30-40,Y,1,217.54545454545453,3.1818181818181817,2.5454545454545454,0.34285714285714286,0.6857142857142857,High usage,Positive charge tier,Short tenure,High failure,0,0,1,1
83,45,0,1440,30,22,19,10,A,Inactive,30-40,N,0,32.0,0.6666666666666666,0.4888888888888889,0.3333333333333333,0.6333333333333333,Low usage,Zero charge tier,Long tenure,High failure,0,1,0,1
84,35,0,2213,50,0,28,1,A,Active,Under 30,N,0,63.22857142857143,1.4285714285714286,0.0,0.02,0.56,Low usage,Zero charge tier,Long tenure,Low failure,0,0,0,0
85,31,0,628,1,1,3,0,A,Inactive,Over 40,N,1,20.258064516129032,0.03225806451612903,0.03225806451612903,0.0,3.0,Low usage,Zero charge tier,Short tenure,Low failure,0,1,0,2
86,24,1,1863,43,44,81,3,A,Active,Over 40,N,0,77.625,1.7916666666666667,1.8333333333333333,0.06976744186046512,1.8837209302325582,Low usage,Positive charge tier,Short tenure,Low failure,0,0,0,2
87,38,1,2895,58,173,22,9,A,Active,Under 30,N,0,76.1842105263158,1.5263157894736843,4.552631578947368,0.15517241379310345,0.3793103448275862,Low usage,Positive charge tier,Long tenure,High failure,0,0,0,0
88,22,0,1315,30,185,10,2,B,Active,Under 30,N,0,59.77272727272727,1.3636363636363635,8.409090909090908,0.06666666666666667,0.3333333333333333,Low usage,Zero charge tier,Short tenure,Low failure,1,0,0,0
89,34,0,1070,53,48,21,23,A,Inactive,30-40,Y,1,31.470588235294116,1.5588235294117647,1.411764705882353,0.4339622641509434,0.39622641509433965,Low usage,Zero charge tier,Short tenure,High failure,0,1,1,1
90,36,0,3470,76,25,26,6,A,Active,Under 30,N,0,96.38888888888889,2.111111111111111,0.6944444444444444,0.07894736842105263,0.34210526315789475,Low usage,Zero charge tier,Long tenure,Low failure,0,0,0,0
91,35,0,1478,25,25,8,0,A,Active,Over 40,N,0,42.22857142857143,0.7142857142857143,0.7142857142857143,0.0,0.32,Low usage,Zero charge tier,Long tenure,Low failure,0,0,0,2
92,34,0,1995,30,273,14,0,A,Active,30-40,N,0,58.6764705882353,0.8823529411764706,8.029411764705882,0.0,0.4666666666666667,Low usage,Zero charge tier,Short tenure,Low failure,0,0,0,1
93,32,0,1360,52,17,15,24,A,Inactive,Under 30,N,1,42.5,1.625,0.53125,0.46153846153846156,0.28846153846153844,Low usage,Zero charge tier,Short tenure,High failure,0,1,0,0
94,34,1,5963,91,7,8,6,A,Active,30-40,N,0,175.38235294117646,2.676470588235294,0.20588235294117646,0.06593406593406594,0.08791208791208792,High usage,Positive charge tier,Short tenure,Low failure,0,0,0,1
95,38,1,4760,86,7,25,9,A,Active,30-40,N,0,125.26315789473684,2.263157894736842,0.18421052631578946,0.10465116279069768,0.29069767441860467,High usage,Positive charge tier,Long tenure,High failure,0,0,0,1
96,40,1,14078,175,7,46,12,A,Active,30-40,N,0,351.95,4.375,0.175,0.06857142857142857,0.26285714285714284,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
97,30,0,11160,142,0,44,0,A,Active,30-40,N,0,372.0,4.733333333333333,0.0,0.0,0.30985915492957744,High usage,Zero charge tier,Short tenure,Low failure,0,0,0,1
98,36,0,2780,53,175,23,6,A,Active,Under 30,N,0,77.22222222222223,1.4722222222222223,4.861111111111111,0.11320754716981132,0.4339622641509434,Low usage,Zero charge tier,Long tenure,High failure,0,0,0,0
99,31,2,1610,40,36,19,16,A,Active,Under 30,N,0,51.935483870967744,1.2903225806451613,1.1612903225806452,0.4,0.475,Low usage,Positive charge tier,Short tenure,High failure,0,0,0,0
100,36,0,2600,20,467,3,0,A,Active,30-40,N,0,72.22222222222223,0.5555555555555556,12.972222222222221,0.0,0.15,Low usage,Zero charge tier,Long tenure,Low failure,0,0,0,1
101,4,0,1487,13,0,6,1,A,Active,Under 30,N,1,371.75,3.25,0.0,0.07692307692307693,0.46153846153846156,High usage,Zero charge tier,Short tenure,Low failure,0,0,0,0
102,30,0,15180,170,135,27,2,A,Active,Under 30,N,0,506.0,5.666666666666667,4.5,0.011764705882352941,0.1588235294117647,High usage,Zero charge tier,Short tenure,Low failure,0,0,0,0
103,29,1,1090,32,196,13,0,B,Active,Under 30,N,0,37.58620689655172,1.103448275862069,6.758620689655173,0.0,0.40625,Low usage,Positive charge tier,Short tenure,Low failure,1,0,0,0
104,38,2,2993,68,23,48,7,A,Active,Under 30,N,0,78.76315789473684,1.7894736842105263,0.6052631578947368,0.10294117647058823,0.7058823529411765,Low usage,Positive charge tier,Long tenure,High failure,0,0,0,0
105,41,1,7588,129,394,47,4,A,Active,30-40,N,0,185.0731707317073,3.1463414634146343,9.609756097560975,0.031007751937984496,0.3643410852713178,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
106,15,0,6087,135,78,40,11,B,Active,Under 30,N,0,405.8,9.0,5.2,0.08148148148148149,0.2962962962962963,High usage,Zero charge tier,Short tenure,Low failure,1,0,0,0
107,34,0,2840,22,0,14,1,A,Active,30-40,N,0,83.52941176470588,0.6470588235294118,0.0,0.045454545454545456,0.6363636363636364,Low usage,Zero charge tier,Short tenure,Low failure,0,0,0,1
108,23,0,745,21,7,3,11,A,Inactive,Under 30,N,0,32.391304347826086,0.9130434782608695,0.30434782608695654,0.5238095238095238,0.14285714285714285,Low usage,Zero charge tier,Short tenure,High failure,0,1,0,0
109,31,5,16675,248,21,95,29,A,Active,Under 30,N,0,537.9032258064516,8.0,0.6774193548387096,0.11693548387096774,0.38306451612903225,High usage,Positive charge tier,Short tenure,High failure,0,0,0,0
110,40,10,10800,102,13,46,29,B,Active,Over 40,Y,0,270.0,2.55,0.325,0.28431372549019607,0.45098039215686275,High usage,Positive charge tier,Long tenure,High failure,1,0,1,2
111,44,3,903,20,26,10,10,A,Active,Over 40,N,0,20.522727272727273,0.45454545454545453,0.5909090909090909,0.5,0.5,Low usage,Positive charge tier,Long tenure,High failure,0,0,0,2
112,36,1,3025,56,177,23,8,A,Active,Under 30,N,0,84.02777777777777,1.5555555555555556,4.916666666666667,0.14285714285714285,0.4107142857142857,Low usage,Positive charge tier,Long tenure,High failure,0,0,0,0
113,34,0,3223,75,0,23,0,A,Active,Under 30,N,0,94.79411764705883,2.2058823529411766,0.0,0.0,0.30666666666666664,Low usage,Zero charge tier,Short tenure,Low failure,0,0,0,0
114,37,0,15485,182,150,30,9,A,Active,Under 30,N,0,418.5135135135135,4.918918918918919,4.054054054054054,0.04945054945054945,0.16483516483516483,High usage,Zero charge tier,Long tenure,Low failure,0,0,0,0
115,41,2,5385,88,37,19,19,A,Active,30-40,N,0,131.34146341463415,2.1463414634146343,0.9024390243902439,0.2159090909090909,0.2159090909090909,High usage,Positive charge tier,Long tenure,High failure,0,0,0,1
116,38,1,0,0,7,0,0,A,Active,Over 40,N,0,0.0,0.0,0.18421052631578946,0.0,0.0,Low usage,Positive charge tier,Long tenure,Low failure,0,0,0,2
117,35,0,958,14,0,6,0,A,Active,30-40,N,0,27.37142857142857,0.4,0.0,0.0,0.42857142857142855,Low usage,Zero charge tier,Long tenure,Low failure,0,0,0,1
118,43,0,385,8,17,6,6,A,Inactive,Under 30,N,1,8.953488372093023,0.18604651162790697,0.3953488372093023,0.75,0.75,Low usage,Zero charge tier,Long tenure,High failure,0,1,0,0
119,38,2,6615,92,218,30,3,A,Active,30-40,N,0,174.07894736842104,2.4210526315789473,5.7368421052631575,0.03260869565217391,0.32608695652173914,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,1
120,37,0,2170,39,310,20,0,A,Active,30-40,N,0,58.648648648648646,1.054054054054054,8.378378378378379,0.0,0.5128205128205128,Low usage,Zero charge tier,Long tenure,Low failure,0,0,0,1
121,36,0,1668,25,0,6,1,A,Active,30-40,N,0,46.333333333333336,0.6944444444444444,0.0,0.04,0.24,Low usage,Zero charge tier,Long tenure,Low failure,0,0,0,1
122,14,1,1740,22,20,10,5,A,Active,Under 30,N,0,124.28571428571429,1.5714285714285714,1.4285714285714286,0.22727272727272727,0.45454545454545453,High usage,Positive charge tier,Short tenure,High failure,0,0,0,0
123,40,4,15635,232,70,37,32,A,Active,30-40,Y,0,390.875,5.8,1.75,0.13793103448275862,0.15948275862068967,High usage,Positive charge tier,Long tenure,High failure,0,0,1,1
124,37,0,3488,55,0,35,4,A,Active,Under 30,N,0,94.27027027027027,1.4864864864864864,0.0,0.07272727272727272,0.6363636363636364,Low usage,Zero charge tier,Long tenure,Low failure,0,0,0,0
125,44,0,970,24,28,14,7,A,Inactive,30-40,N,0,22.045454545454547,0.5454545454545454,0.6363636363636364,0.2916666666666667,0.5833333333333334,Low usage,Zero charge tier,Long tenure,High failure,0,1,0,1
126,40,0,1665,50,46,21,5,A,Inactive,Over 40,N,0,41.625,1.25,1.15,0.1,0.42,Low usage,Zero charge tier,Long tenure,High failure,0,1,0,2
127,34,0,1438,43,327,22,0,A,Active,Under 30,N,0,42.294117647058826,1.2647058823529411,9.617647058823529,0.0,0.5116279069767442,Low usage,Zero charge tier,Short tenure,Low failure,0,0,0,0
128,35,0,3183,49,0,33,0,A,Active,Under 30,N,0,90.94285714285714,1.4,0.0,0.0,0.673469387755102,Low usage,Zero charge tier,Long tenure,Low failure,0,0,0,0
129,39,0,2945,45,17,20,9,A,Inactive,30-40,Y,1,75.51282051282051,1.1538461538461537,0.4358974358974359,0.2,0.4444444444444444,Low usage,Zero charge tier,Long tenure,High failure,0,1,1,1
130,40,0,1623,29,8,10,1,A,Active,30-40,N,0,40.575,0.725,0.2,0.034482758620689655,0.3448275862068966,Low usage,Zero charge tier,Long tenure,Low failure,0,0,0,1
131,38,3,15385,228,56,32,27,A,Active,30-40,N,0,404.86842105263156,6.0,1.4736842105263157,0.11842105263157894,0.14035087719298245,High usage,Positive charge tier,Long tenure,High failure,0,0,0,1
132,40,1,2298,57,13,19,12,A,Active,30-40,N,0,57.45,1.425,0.325,0.21052631578947367,0.3333333333333333,Low usage,Positive charge tier,Long tenure,High failure,0,0,0,1
133,37,1,11655,155,20,50,9,A,Active,Over 40,N,0,315.0,4.1891891891891895,0.5405405405405406,0.05806451612903226,0.3225806451612903,High usage,Positive charge tier,Long tenure,Low failure,0,0,0,2
134,34,2,2133,55,52,76,14,A,Active,Over 40,N,0,62.73529411764706,1.6176470588235294,1.5294117647058822,0.2545454545454545,1.3818181818181818,Low usage,Positive charge tier,Short tenure,High failure,0,0,0,2
135,36,0,3280,75,16,23,4,A,Active,Under 30,N,0,91.11111111111111,2.0833333333333335,0.4444444444444444,0.05333333333333334,0.30666666666666664,Low usage,Zero charge tier,Long tenure,Low failure,0,0,0,0
136,30,3,2330,53,208,13,15,B,Active,30-40,N,0,77.66666666666667,1.7666666666666666,6.933333333333334,0.2830188679245283,0.24528301886792453,Low usage,Positive charge tier,Short tenure,High failure,1,0,0,1
137,16,1,9048,177,105,44,12,A,Active,Over 40,N,0,565.5,11.0625,6.5625,0.06779661016949153,0.24858757062146894,High usage,Positive charge tier,Short tenure,Low failure,0,0,0,2
138,25,3,6958,157,107,50,26,B,Active,Under 30,N,0,278.32,6.28,4.28,0.16560509554140126,0.3184713375796178,High usage,Positive charge tier,Short tenure,High failure,1,0,0,0
139,33,0,1248,13,0,3,0,A,Active,30-40,N,0,37.81818181818182,0.3939393939393939,0.0,0.0,0.23076923076923078,Low usage,Zero charge tier,Short tenure,Low failure,0,0,0,1
